Objective,LOE,IMO,Parent_OAI_ID,Sub_OAI_ID,OAI_Description,Land,Sea,Air,Cyber,Space,Decisive_Point,Decision_Point
OBJ2 - Degrade/Disrupt Malign State and Non-State Actors (Main Effort),LOE2.2 - Counter State Influence & Hybrid Threats,Partner Force Protection Against State-Backed Proxies,2.2.6,2.2.6b,Execute FP training and improvements with partners,"Train ground forces on C-UAS, C-IED, and base defense",Train maritime forces on counter-boarding and FP posture,Improve FP measures at airfields and bases,Secure FP sensors and networks from cyber intrusion,Use space pattern analysis to cue FP measures,Partner forces better able to withstand proxy attacks,Surge in proxy activity overwhelms FP posture
OBJ2 - Degrade/Disrupt Malign State and Non-State Actors (Main Effort),LOE2.2 - Counter State Influence & Hybrid Threats,Partner Force Protection Against State-Backed Proxies,2.2.7,2.2.7a,Plan targeted ISR against proxy training and staging areas,"Identify land camps, training sites, and logistics hubs",Identify maritime routes and ports linked to proxies,Identify airfields and routes used by proxy aviation,Identify cyber signatures and comms of proxy networks,Identify space ISR requirements for monitoring camps/routes,ISR plan approved and deconflicted with other requirements,Decision to allocate ISR assets and authorities to proxy problem set
OBJ2 - Degrade/Disrupt Malign State and Non-State Actors (Main Effort),LOE2.2 - Counter State Influence & Hybrid Threats,Partner Force Protection Against State-Backed Proxies,2.2.7,2.2.7b,Execute targeted ISR and enable options against proxies,"Monitor land camps, training areas, and logistics nodes",Monitor proxy-linked maritime movement and supply routes,Monitor proxy facilities and movements from the air,Exploit digital footprints and comms for targeting,Use space ISR for persistent monitoring and pattern analysis,Proxy networks clearly characterized and targetable,Action on proxies risks Iranian/Russian escalation or blowback
OBJ3 - Achieve Integrated Domain Awareness & Interdiction Superiority,"LOE3.1 - Build Unified, Persistent, Multinational Domain Awareness","Establish a Fused, Multinational COP",3.1.1,3.1.1a,Design hemispheric fusion center construct,"Define land, law-enforcement, and interagency participation",Define maritime analysts and feeds into centers,Define air tasking and ISR management roles at centers,Define cyber status and incident reporting integration,Define space ISR and SATCOM status feeds,Fusion center design approved by WHEMCOM and partners,"Decision on physical locations, hosting, and lead nations"
OBJ3 - Achieve Integrated Domain Awareness & Interdiction Superiority,"LOE3.1 - Build Unified, Persistent, Multinational Domain Awareness","Establish a Fused, Multinational COP",3.1.1,3.1.1b,Stand up and operate multinational fusion centers,Staff land and interagency desks with trained analysts,Staff maritime desks with JIATF-S and partner reps,Staff air desks linked to air C2 and ATO processes,Staff cyber desks with SOC/CSIRT liaisons,"Continuously ingest space ISR, SATCOM, and space weather",Multinational COP operating at WHEMCOM/JIATF-S/partners,Partner reluctance to share or display their operational data
OBJ3 - Achieve Integrated Domain Awareness & Interdiction Superiority,"LOE3.1 - Build Unified, Persistent, Multinational Domain Awareness","Establish a Fused, Multinational COP",3.1.2,3.1.2a,Develop common data standards and PARD-X protocols,Define land-related data schemas and metadata,Define maritime track and contact data formats,"Define air tracks, missions, and ATO data formats",Define cyber IOC/indicator and alert formats,Define space product and metadata standards,Standard set documented and tested in lab environment,Decision by partners to adopt standards in their systems
OBJ3 - Achieve Integrated Domain Awareness & Interdiction Superiority,"LOE3.1 - Build Unified, Persistent, Multinational Domain Awareness","Establish a Fused, Multinational COP",3.1.2,3.1.2b,Implement PARD-X standards across partners and systems,Apply standards in land C2 and intel systems,"Apply standards in maritime C2, MDA, and JIATF-S systems",Apply standards in air C2 and ISR systems,Integrate cyber feeds into COP using common formats,Integrate space products using agreed metadata,Partners exchanging data seamlessly into fused COP,Legal/IT constraints slow or block some partners from full adoption
OBJ3 - Achieve Integrated Domain Awareness & Interdiction Superiority,"LOE3.1 - Build Unified, Persistent, Multinational Domain Awareness",Integrate Unmanned Systems Across the Hemisphere,3.1.3,3.1.3a,Plan procurement and posture of long-range UAS/UXS,"Define land support sites, hangars, and crews",Define maritime platforms and ports for UxS support,Define airspace structure for UAS corridors and altitudes,Define secure C2 network requirements,Define SATCOM and space relay needs for BVLOS ops,UAS/UXS architecture and basing plan approved,"Decision to buy, lease, or partner-source specific platforms"
OBJ3 - Achieve Integrated Domain Awareness & Interdiction Superiority,"LOE3.1 - Build Unified, Persistent, Multinational Domain Awareness",Integrate Unmanned Systems Across the Hemisphere,3.1.3,3.1.3b,Deploy and operate long-range unmanned ISR platforms,Use land-based UAS hubs and maintenance facilities,Operate maritime UxS from selected ports/ships,Fly long-endurance UAS missions over key routes,Maintain secure C2 links and data pipes,Use space relay/SATCOM to extend range and control,Persistent unmanned ISR coverage of key corridors,Partner denial of basing/overflight or adversary UAS countermeasures
OBJ3 - Achieve Integrated Domain Awareness & Interdiction Superiority,"LOE3.1 - Build Unified, Persistent, Multinational Domain Awareness",Integrate Unmanned Systems Across the Hemisphere,3.1.4,3.1.4a,Design multinational CTF-UAS construct,Define land-member roles and responsibilities,Define maritime member roles and patrol sectors,Define airspace coordination and deconfliction processes,Define shared C2 and datalink architecture,Define integration of space ISR cueing into UAS ops,CTF-UAS concept agreed among core partners,"Decision on lead nation, command relationships, and membership"
OBJ3 - Achieve Integrated Domain Awareness & Interdiction Superiority,"LOE3.1 - Build Unified, Persistent, Multinational Domain Awareness",Integrate Unmanned Systems Across the Hemisphere,3.1.4,3.1.4b,Operate multinational CTF-UAS for shared ISR missions,Coordinate land tasking of UAS to support interdiction,Coordinate maritime UxS patrol sectors and surge ops,Coordinate airspace for multi-national UAS activity,"Share UAS C2, data, and best practices among partners",Use space ISR cues to retask UAS dynamically,CTF-UAS delivering shared ISR to partners,Emerging adversary UAS or counter-UAS changes risk calculus
OBJ3 - Achieve Integrated Domain Awareness & Interdiction Superiority,"LOE3.1 - Build Unified, Persistent, Multinational Domain Awareness",Establish Real-Time Intelligence Sharing Protocols & Authorities,3.1.5,3.1.5a,Design real-time tear lines and authority protocols,Define land-use cases for rapid intel release,Define maritime real-time sharing of tracks and alerts,Define air real-time sharing of threats and intercept cues,Define automated cyber and digital IOC sharing triggers,Define real-time space-derived cueing protocols,Policy package drafted across interagency and partners,Decision by legal and policy authorities to adopt real-time rules
OBJ3 - Achieve Integrated Domain Awareness & Interdiction Superiority,"LOE3.1 - Build Unified, Persistent, Multinational Domain Awareness",Establish Real-Time Intelligence Sharing Protocols & Authorities,3.1.5,3.1.5b,Implement real-time intel sharing and monitor compliance,Push land threat intel at machine speed to partners,Push maritime tracks/warnings to interdiction forces,Push air tracks/threats for rapid intercept decisions,Push cyber IOCs and alerts via automated systems,Push space-derived indications to interdiction nodes,Partners routinely receive and act on real-time intel,Legal/political pushback slows or halts real-time sharing
OBJ3 - Achieve Integrated Domain Awareness & Interdiction Superiority,"LOE3.2 - Achieve Superior, Coordinated, Multinational Interdiction Effects",Integrated Targeting & Joint Interdiction Mechanisms,3.2.1,3.2.1a,Design Joint Interdiction Coordination Board (JICB),Define land interdiction and law-enforcement representation,Define maritime and coast guard representation,Define air component representation and roles,Define cyber and space liaison roles,Define JICB battle rhythm and decision process,JICB charter and structure approved,Decision on which nations/agencies are core members
OBJ3 - Achieve Integrated Domain Awareness & Interdiction Superiority,"LOE3.2 - Achieve Superior, Coordinated, Multinational Interdiction Effects",Integrated Targeting & Joint Interdiction Mechanisms,3.2.1,3.2.1b,Conduct JICB cycles and integrate joint targeting,Prioritize land interdiction and raids with partners,Prioritize maritime targets and surge patrols,Prioritize air intercept and ISR support missions,Leverage cyber and space options to enable interdiction,Issue coordinated tasking across domains,Integrated targeting cycle produces joint interdiction packages,Partners refuse to support certain targets or kinetic options
OBJ3 - Achieve Integrated Domain Awareness & Interdiction Superiority,"LOE3.2 - Achieve Superior, Coordinated, Multinational Interdiction Effects",Integrated Targeting & Joint Interdiction Mechanisms,3.2.2,3.2.2a,Develop and war-game interdiction playbooks,Write land raid and interdiction playbooks,Write maritime surge and choke point playbooks,Write air cue-to-intercept and support playbooks,Write cyber and digital pressure/enabler playbooks,Include space-cue-driven and space-supported options,Playbooks validated in war-games and exercises,Approval to link playbooks to specific ISR triggers
OBJ3 - Achieve Integrated Domain Awareness & Interdiction Superiority,"LOE3.2 - Achieve Superior, Coordinated, Multinational Interdiction Effects",Integrated Targeting & Joint Interdiction Mechanisms,3.2.2,3.2.2b,Execute playbooks based on ISR triggers,Conduct ground raids or interdictions as scripted,Conduct maritime surge operations at key windows,Conduct air intercepts and ISR missions per playbooks,Employ cyber actions as part of playbook sequences,Employ space-based cueing and BDA where relevant,"Playbooks produce timely, effective interdiction effects",Legal or political constraints prevent or halt playbook execution
OBJ3 - Achieve Integrated Domain Awareness & Interdiction Superiority,"LOE3.2 - Achieve Superior, Coordinated, Multinational Interdiction Effects",Multinational Maritime & Air Interdiction Superiority,3.2.3,3.2.3a,Plan Hemisphere Sprint surge operations,Select land staging areas and support units,Plan maritime task groups and surge patrols,Plan surge MPA and air ISR/strike support,Plan cyber defense for surge comms and C2,Plan space ISR support and dynamic cueing,Surge plan synchronized across partners and agencies,Decision to initiate surge based on indicators and CCIRs
OBJ3 - Achieve Integrated Domain Awareness & Interdiction Superiority,"LOE3.2 - Achieve Superior, Coordinated, Multinational Interdiction Effects",Multinational Maritime & Air Interdiction Superiority,3.2.3,3.2.3b,Execute Hemisphere Sprint and assess effects,Deploy land support and law-enforcement teams,Surge maritime patrols and interdiction efforts,Surge air assets for interdiction and overwatch,Defend C2 and networks during high-tempo operations,Use space ISR to continuously retask and assess,Demonstrated maritime/air interdiction superiority,Surge forces overstretched or unavailable for duration needed
OBJ3 - Achieve Integrated Domain Awareness & Interdiction Superiority,"LOE3.2 - Achieve Superior, Coordinated, Multinational Interdiction Effects",Counter-Adaptation Against Evasion Tactics,3.2.4,3.2.4a,Plan and organize WHEMCOM red-teaming of adversary TTPs,Define land adaptation scenarios and TCO route changes,"Define maritime adaptation (go-fasts, mother ships, decoys)","Define air adaptation (low-level routes, spoofing, EW)",Define cyber and C2 adaptation possibilities,Define space and signature adaptation possibilities,Red-team framework and objectives agreed,Decision on frequency and scope of red-team efforts
OBJ3 - Achieve Integrated Domain Awareness & Interdiction Superiority,"LOE3.2 - Achieve Superior, Coordinated, Multinational Interdiction Effects",Counter-Adaptation Against Evasion Tactics,3.2.4,3.2.4b,Conduct red-team analysis and feed results into planning,Model land-based evasion and new safe-havens,Model maritime evasion tactics and new routes,"Model air evasion, spoofing, and jamming tactics",Model cyber and digital adaptation to pressure,Model use of space/camouflage to reduce signature,Future adaptation paths anticipated and briefed to JICB,Unexpected TTPs still appear and create new vulnerabilities
OBJ3 - Achieve Integrated Domain Awareness & Interdiction Superiority,"LOE3.2 - Achieve Superior, Coordinated, Multinational Interdiction Effects",Counter-Adaptation Against Evasion Tactics,3.2.5,3.2.5a,Design rapid TTP development cell within JICB,Define land TTP update processes and distribution,Define maritime TTP update processes and ROE linkages,Define air TTP update processes and training,Define cyber/space TTP update processes,Define mechanisms to capture lessons from real operations,TTP development cell concept approved,"Decision on staffing, authorities, and dissemination tools"
OBJ3 - Achieve Integrated Domain Awareness & Interdiction Superiority,"LOE3.2 - Achieve Superior, Coordinated, Multinational Interdiction Effects",Counter-Adaptation Against Evasion Tactics,3.2.5,3.2.5b,Continuously update and disseminate interdiction TTPs,Issue new land interdiction tactics based on lessons,Issue new maritime interdiction and boarding TTPs,Issue new air interdiction and ISR support tactics,Issue new cyber/space-enabled cueing and targeting TTPs,Track partner implementation and feedback,Partners rapidly adopt improved TTPs across domains,Partners slow to implement or politically resist updated TTPs
